timestamp,setup_idx,setup_name,scenario,cup_state,driptray_state,power_label,power_mW,sub,sub_layout,window_s,total_sweeps,cup1_ant1_reads,cup1_ant1_avg_rssi,cup1_ant2_reads,cup1_ant2_avg_rssi,cup2_ant1_reads,cup2_ant1_avg_rssi,cup2_ant2_reads,cup2_ant2_avg_rssi,misreads,overlaps,interrupted,verdict,cup1_epc,cup2_epc,notes
2026-05-20T08:55:27,2,Antennas at an Angle,E,Empty,Full,Medium,170,2,"Cup empty, drip tray full (liquid in tray). Cup 1 on Ant1, Cup 2 on Ant2.",15,81,0,,0,,0,,0,,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,no scans on medium power either
2026-05-20T08:56:09,2,Antennas at an Angle,H,Empty,Full,High,316,2,"Cup empty, drip tray full (liquid in tray). Cup 1 on Ant1, Cup 2 on Ant2.",15,78,78,-64.18,0,,0,,57,-63.75,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,proper scans on full power
2026-05-20T08:56:41,2,Antennas at an Angle,H,Empty,Full,High,316,2,"Cup empty, drip tray full (liquid in tray). Cup 1 on Ant1, Cup 2 on Ant2.",15,78,78,-63.18,0,,0,,78,-64.44,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T08:57:06,2,Antennas at an Angle,H,Empty,Full,High,316,2,"Cup empty, drip tray full (liquid in tray). Cup 1 on Ant1, Cup 2 on Ant2.",15,78,78,-63.22,0,,0,,78,-64.39,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T08:57:35,2,Antennas at an Angle,H,Empty,Full,High,316,2,"Cup empty, drip tray full (liquid in tray). Cup 1 on Ant1, Cup 2 on Ant2.",15,78,71,-64.75,0,,0,,53,-64.53,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T08:58:31,2,Antennas at an Angle,H,Empty,Full,High,316,2,"Cup empty, drip tray full (liquid in tray). Cup 1 on Ant1, Cup 2 on Ant2.",15,78,78,-64.58,0,,0,,78,-63.41,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T08:59:08,2,Antennas at an Angle,H,Empty,Full,High,316,2,"Cup empty, drip tray full (liquid in tray). Cup 1 on Ant1, Cup 2 on Ant2.",15,78,78,-64.42,0,,0,,78,-63.53,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T09:01:14,2,Antennas at an Angle,H,Empty,Full,High,316,2,"Cup empty, drip tray full (liquid in tray). Cup 1 on Ant1, Cup 2 on Ant2.",15,78,78,-64.27,0,,0,,78,-62.64,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T09:02:38,2,Antennas at an Angle,H,Empty,Full,High,316,2,"Cup empty, drip tray full (liquid in tray). Cup 1 on Ant1, Cup 2 on Ant2.",15,78,78,-64.14,0,,0,,78,-62.64,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T09:09:34,2,Antennas at an Angle,H,Empty,Full,High,316,2,"Cup empty, drip tray full (liquid in tray). Cup 1 on Ant1, Cup 2 on Ant2.",15,78,78,-59.11,0,,0,,78,-60.75,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
